pair,person,action,gallery_filename,probe_filename,gallery_setup,probe_setup
pool_a_s007_to_s011,1,1,S007C001P001R001A001_rgb.avi,S011C002P001R002A001_rgb.avi,7,11
pool_a_s007_to_s011,1,2,S007C001P001R001A002_rgb.avi,S011C002P001R002A002_rgb.avi,7,11
pool_a_s007_to_s011,1,3,S007C001P001R001A003_rgb.avi,S011C002P001R002A003_rgb.avi,7,11
pool_a_s007_to_s011,1,4,S007C001P001R001A004_rgb.avi,S011C002P001R002A004_rgb.avi,7,11
pool_a_s007_to_s011,1,5,S007C001P001R001A005_rgb.avi,S011C002P001R002A005_rgb.avi,7,11
pool_a_s007_to_s011,1,6,S007C001P001R001A006_rgb.avi,S011C002P001R002A006_rgb.avi,7,11
pool_a_s007_to_s011,1,7,S007C001P001R001A007_rgb.avi,S011C002P001R002A007_rgb.avi,7,11
pool_a_s007_to_s011,1,8,S007C001P001R001A008_rgb.avi,S011C002P001R002A008_rgb.avi,7,11
pool_a_s007_to_s011,1,9,S007C001P001R001A009_rgb.avi,S011C002P001R002A009_rgb.avi,7,11
pool_a_s007_to_s011,1,10,S007C001P001R001A010_rgb.avi,S011C002P001R002A010_rgb.avi,7,11
pool_a_s007_to_s011,1,11,S007C001P001R001A011_rgb.avi,S011C002P001R002A011_rgb.avi,7,11
pool_a_s007_to_s011,1,12,S007C001P001R001A012_rgb.avi,S011C002P001R002A012_rgb.avi,7,11
pool_a_s007_to_s011,1,13,S007C001P001R001A013_rgb.avi,S011C002P001R002A013_rgb.avi,7,11
pool_a_s007_to_s011,1,14,S007C001P001R001A014_rgb.avi,S011C002P001R002A014_rgb.avi,7,11
pool_a_s007_to_s011,1,15,S007C001P001R001A015_rgb.avi,S011C002P001R002A015_rgb.avi,7,11
pool_a_s007_to_s011,1,16,S007C001P001R001A016_rgb.avi,S011C002P001R002A016_rgb.avi,7,11
pool_a_s007_to_s011,1,17,S007C001P001R001A017_rgb.avi,S011C002P001R002A017_rgb.avi,7,11
pool_a_s007_to_s011,1,18,S007C001P001R001A018_rgb.avi,S011C002P001R002A018_rgb.avi,7,11
pool_a_s007_to_s011,1,19,S007C001P001R001A019_rgb.avi,S011C002P001R002A019_rgb.avi,7,11
pool_a_s007_to_s011,1,20,S007C001P001R001A020_rgb.avi,S011C002P001R002A020_rgb.avi,7,11
pool_a_s007_to_s011,1,21,S007C001P001R001A021_rgb.avi,S011C002P001R002A021_rgb.avi,7,11
pool_a_s007_to_s011,1,22,S007C001P001R001A022_rgb.avi,S011C002P001R002A022_rgb.avi,7,11
pool_a_s007_to_s011,1,23,S007C001P001R001A023_rgb.avi,S011C002P001R002A023_rgb.avi,7,11
pool_a_s007_to_s011,1,24,S007C001P001R001A024_rgb.avi,S011C002P001R002A024_rgb.avi,7,11
