protocol,method,gallery_identity_count,probe_requested,probe_features,probe_coverage,observed_balanced_accuracy,naive_chance,observed_over_naive,action_conditioned_chance_balanced,observed_over_action_conditioned,point_estimate_above_action_conditioned,chance_scope,permutation_test
crossview_cam2,original,38,3600,3600,1.0,0.09879385964912282,0.02631578947368421,3.7541666666666673,0.04858552631578948,2.0334010381403744,True,full_requested_split,unavailable_no_per_sample_predictions_or_features
crossview_cam2,face_blur,38,3600,3600,1.0,0.09276315789473684,0.02631578947368421,3.525,0.04858552631578948,1.9092755585646577,True,full_requested_split,unavailable_no_per_sample_predictions_or_features
crossview_cam2,body_blur,38,3600,3600,1.0,0.10328947368421053,0.02631578947368421,3.9250000000000003,0.04858552631578948,2.1259309410968177,True,full_requested_split,unavailable_no_per_sample_predictions_or_features
crossview_cam2,body_pixel,38,3600,779,0.21638888888888888,0.030521642619311874,0.02631578947368421,1.1598224195338513,0.04858552631578948,0.628204424933704,False,full_requested_split_approximation_for_covered_subset,unavailable_no_per_sample_predictions_or_features
crossview_cam3,original,38,3600,3600,1.0,0.042105263157894736,0.02631578947368421,1.6,0.04858552631578948,0.866621530128639,False,full_requested_split,unavailable_no_per_sample_predictions_or_features
crossview_cam3,face_blur,38,3600,3600,1.0,0.04243421052631578,0.02631578947368421,1.6124999999999998,0.04858552631578948,0.8733920108327689,False,full_requested_split,unavailable_no_per_sample_predictions_or_features
crossview_cam3,body_blur,38,3600,3600,1.0,0.04528508771929825,0.02631578947368421,1.7208333333333334,0.04858552631578948,0.9320695102685623,False,full_requested_split,unavailable_no_per_sample_predictions_or_features
crossview_cam3,body_pixel,38,3600,803,0.22305555555555556,0.02977044476327116,0.02631578947368421,1.1312769010043042,0.04858552631578948,0.6127430743422093,False,full_requested_split_approximation_for_covered_subset,unavailable_no_per_sample_predictions_or_features
crosssetup,original,18,1140,1140,1.0,0.0962962962962963,0.05555555555555555,1.7333333333333334,0.10511363636363633,0.9161161161161164,False,full_requested_split,unavailable_no_per_sample_predictions_or_features
crosssetup,face_blur,18,1140,1140,1.0,0.08703703703703702,0.05555555555555555,1.5666666666666664,0.10511363636363633,0.8280280280280282,False,full_requested_split,unavailable_no_per_sample_predictions_or_features
crosssetup,body_blur,18,1140,1140,1.0,0.1101851851851852,0.05555555555555555,1.9833333333333338,0.10511363636363633,1.048248248248249,True,full_requested_split,unavailable_no_per_sample_predictions_or_features
crosssetup,body_pixel,18,1140,300,0.2631578947368421,0.04554079696394687,0.05555555555555555,0.8197343453510437,0.10511363636363633,0.43325298733268386,False,full_requested_split_approximation_for_covered_subset,unavailable_no_per_sample_predictions_or_features
crossrange,original,3,240,240,1.0,0.30277777777777776,0.3333333333333333,0.9083333333333333,0.3333333333333333,0.9083333333333333,False,full_requested_split,unavailable_no_per_sample_predictions_or_features
crossrange,face_blur,3,240,240,1.0,0.30277777777777776,0.3333333333333333,0.9083333333333333,0.3333333333333333,0.9083333333333333,False,full_requested_split,unavailable_no_per_sample_predictions_or_features
crossrange,body_blur,3,240,240,1.0,0.34166666666666673,0.3333333333333333,1.0250000000000004,0.3333333333333333,1.0250000000000004,True,full_requested_split,unavailable_no_per_sample_predictions_or_features
crossrange,body_pixel,3,240,33,0.1375,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,False,full_requested_split_approximation_for_covered_subset,unavailable_no_per_sample_predictions_or_features
