adversary,protocol,method,metric,value,coverage,naive_chance,action_conditioned_chance,interpretation_guardrail
reid,crossview_cam2,original,rank1,0.8530555555555556,1.0,,,report per protocol; do not average with different gallery sizes
reid,crossview_cam2,face_blur,rank1,0.8466666666666667,1.0,,,report per protocol; do not average with different gallery sizes
reid,crossview_cam2,body_blur,rank1,0.7208333333333333,1.0,,,report per protocol; do not average with different gallery sizes
reid,crossview_cam2,body_pixel,rank1,0.49416666666666664,1.0,,,report per protocol; do not average with different gallery sizes
reid,crossview_cam3,original,rank1,0.8061111111111111,1.0,,,report per protocol; do not average with different gallery sizes
reid,crossview_cam3,face_blur,rank1,0.8011111111111111,1.0,,,report per protocol; do not average with different gallery sizes
reid,crossview_cam3,body_blur,rank1,0.6430555555555556,1.0,,,report per protocol; do not average with different gallery sizes
reid,crossview_cam3,body_pixel,rank1,0.35694444444444445,1.0,,,report per protocol; do not average with different gallery sizes
reid,crosssetup,original,rank1,0.45263157894736844,1.0,,,report per protocol; do not average with different gallery sizes
reid,crosssetup,face_blur,rank1,0.47017543859649125,1.0,,,report per protocol; do not average with different gallery sizes
reid,crosssetup,body_blur,rank1,0.35526315789473684,1.0,,,report per protocol; do not average with different gallery sizes
reid,crosssetup,body_pixel,rank1,0.26666666666666666,1.0,,,report per protocol; do not average with different gallery sizes
reid,crossrange,original,rank1,0.6208333333333333,1.0,,,3-identity diagnostic; fixed clothing/session; do not generalize magnitude
reid,crossrange,face_blur,rank1,0.6291666666666667,1.0,,,3-identity diagnostic; fixed clothing/session; do not generalize magnitude
reid,crossrange,body_blur,rank1,0.49166666666666664,1.0,,,3-identity diagnostic; fixed clothing/session; do not generalize magnitude
reid,crossrange,body_pixel,rank1,0.5833333333333334,1.0,,,3-identity diagnostic; fixed clothing/session; do not generalize magnitude
rgb_pose_identity,crossview_cam2,original,balanced_accuracy,0.09879385964912282,1.0,0.02631578947368421,0.04858552631578948,use action-conditioned null; significance unavailable
rgb_pose_identity,crossview_cam2,face_blur,balanced_accuracy,0.09276315789473684,1.0,0.02631578947368421,0.04858552631578948,use action-conditioned null; significance unavailable
rgb_pose_identity,crossview_cam2,body_blur,balanced_accuracy,0.10328947368421053,1.0,0.02631578947368421,0.04858552631578948,use action-conditioned null; significance unavailable
rgb_pose_identity,crossview_cam2,body_pixel,balanced_accuracy,0.030521642619311874,0.21638888888888888,0.02631578947368421,0.04858552631578948,use action-conditioned null; significance unavailable
rgb_pose_identity,crossview_cam3,original,balanced_accuracy,0.042105263157894736,1.0,0.02631578947368421,0.04858552631578948,use action-conditioned null; significance unavailable
rgb_pose_identity,crossview_cam3,face_blur,balanced_accuracy,0.04243421052631578,1.0,0.02631578947368421,0.04858552631578948,use action-conditioned null; significance unavailable
rgb_pose_identity,crossview_cam3,body_blur,balanced_accuracy,0.04528508771929825,1.0,0.02631578947368421,0.04858552631578948,use action-conditioned null; significance unavailable
rgb_pose_identity,crossview_cam3,body_pixel,balanced_accuracy,0.02977044476327116,0.22305555555555556,0.02631578947368421,0.04858552631578948,use action-conditioned null; significance unavailable
rgb_pose_identity,crosssetup,original,balanced_accuracy,0.0962962962962963,1.0,0.05555555555555555,0.10511363636363633,use action-conditioned null; significance unavailable
rgb_pose_identity,crosssetup,face_blur,balanced_accuracy,0.08703703703703702,1.0,0.05555555555555555,0.10511363636363633,use action-conditioned null; significance unavailable
rgb_pose_identity,crosssetup,body_blur,balanced_accuracy,0.1101851851851852,1.0,0.05555555555555555,0.10511363636363633,use action-conditioned null; significance unavailable
rgb_pose_identity,crosssetup,body_pixel,balanced_accuracy,0.04554079696394687,0.2631578947368421,0.05555555555555555,0.10511363636363633,use action-conditioned null; significance unavailable
rgb_pose_identity,crossrange,original,balanced_accuracy,0.30277777777777776,1.0,0.3333333333333333,0.3333333333333333,3-identity diagnostic; no transferable leakage-magnitude claim
rgb_pose_identity,crossrange,face_blur,balanced_accuracy,0.30277777777777776,1.0,0.3333333333333333,0.3333333333333333,3-identity diagnostic; no transferable leakage-magnitude claim
rgb_pose_identity,crossrange,body_blur,balanced_accuracy,0.34166666666666673,1.0,0.3333333333333333,0.3333333333333333,3-identity diagnostic; no transferable leakage-magnitude claim
rgb_pose_identity,crossrange,body_pixel,balanced_accuracy,0.3333333333333333,0.1375,0.3333333333333333,0.3333333333333333,3-identity diagnostic; no transferable leakage-magnitude claim
