adversary,split,method,pool_size,seed,rank1,rank5,mAP
reid,crossview_cam2,original,5,0,0.9703703703703703,0.987037037037037,0.8543734186406934
reid,crossview_cam2,original,5,1,0.819047619047619,0.8904761904761904,0.769236614004249
reid,crossview_cam2,original,5,2,0.95625,0.975,0.7316039638570064
reid,crossview_cam2,original,5,3,0.9895833333333334,0.9979166666666667,0.8594398773930451
reid,crossview_cam2,original,5,4,0.9761904761904762,0.9928571428571429,0.8043800609935684
reid,crossview_cam2,original,5,5,0.9648148148148148,0.9851851851851852,0.7883479231199766
reid,crossview_cam2,original,5,6,0.9972222222222222,0.9972222222222222,0.9610301998103795
reid,crossview_cam2,original,5,7,0.9888888888888889,0.9972222222222222,0.8520538720785503
reid,crossview_cam2,original,5,8,0.987037037037037,0.9981481481481481,0.7328268785198307
reid,crossview_cam2,original,5,9,0.9433333333333334,0.9683333333333334,0.7106687120713483
reid,crossview_cam2,original,5,10,0.9809523809523809,0.9928571428571429,0.941966344852105
reid,crossview_cam2,original,5,11,0.88,0.915,0.7165857141487638
reid,crossview_cam2,original,5,12,0.9642857142857143,0.9714285714285714,0.8994984531253096
reid,crossview_cam2,original,5,13,0.9285714285714286,0.9595238095238096,0.830884141747914
reid,crossview_cam2,original,5,14,0.9907407407407407,1.0,0.7252640510415385
reid,crossview_cam2,original,5,15,0.9785714285714285,0.9833333333333333,0.8245538782374108
reid,crossview_cam2,original,5,16,0.9583333333333334,0.9895833333333334,0.8446167302618863
reid,crossview_cam2,original,5,17,0.9740740740740741,0.9962962962962963,0.7237451141221496
reid,crossview_cam2,original,5,18,0.9809523809523809,0.9928571428571429,0.9259219308396671
reid,crossview_cam2,original,5,19,0.9416666666666667,0.9444444444444444,0.8791220904576684
reid,crossview_cam2,original,5,20,0.9452380952380952,0.9738095238095238,0.8895465539395757
reid,crossview_cam2,original,5,21,0.9851851851851852,0.9944444444444445,0.8318112478618013
reid,crossview_cam2,original,5,22,0.9916666666666667,0.9944444444444445,0.9407010222199776
reid,crossview_cam2,original,5,23,1.0,1.0,0.7783600914945925
reid,crossview_cam2,original,5,24,0.9314814814814815,0.9851851851851852,0.7815202621971762
reid,crossview_cam2,original,5,25,0.9703703703703703,0.9944444444444445,0.8070791359660164
reid,crossview_cam2,original,5,26,0.9766666666666667,1.0,0.7964824147657852
reid,crossview_cam2,original,5,27,0.9981481481481481,1.0,0.8112798749981956
reid,crossview_cam2,original,5,28,0.9625,0.9729166666666667,0.8556090399807246
reid,crossview_cam2,original,5,29,0.9738095238095238,0.9928571428571429,0.933416680074866
reid,crossview_cam2,original,10,0,0.961764705882353,0.9872549019607844,0.7416520070422312
reid,crossview_cam2,original,10,1,0.9427083333333334,0.9729166666666667,0.7065065530700678
reid,crossview_cam2,original,10,2,0.9010416666666666,0.94375,0.7208729301219482
reid,crossview_cam2,original,10,3,0.9726190476190476,0.9785714285714285,0.8323397525605042
reid,crossview_cam2,original,10,4,0.8861111111111111,0.9541666666666667,0.7517893921321135
reid,crossview_cam2,original,10,5,0.9735294117647059,0.9901960784313726,0.7378359913470138
reid,crossview_cam2,original,10,6,0.9807692307692307,0.9884615384615385,0.7994115574059918
reid,crossview_cam2,original,10,7,0.9645833333333333,0.9791666666666666,0.7815022043410799
reid,crossview_cam2,original,10,8,0.9622222222222222,0.9677777777777777,0.7829016150160955
reid,crossview_cam2,original,10,9,0.9641025641025641,0.9730769230769231,0.8536697373346877
reid,crossview_cam2,original,10,10,0.9385416666666667,0.9697916666666667,0.7549791828871679
reid,crossview_cam2,original,10,11,0.953125,0.9677083333333333,0.6810488257984265
reid,crossview_cam2,original,10,12,0.9477777777777778,0.9644444444444444,0.8208850251664962
reid,crossview_cam2,original,10,13,0.9797619047619047,0.9940476190476191,0.8436203769186345
reid,crossview_cam2,original,10,14,0.9458333333333333,0.9666666666666667,0.6769583130832956
reid,crossview_cam2,original,10,15,0.9538461538461539,0.958974358974359,0.8307204638901121
reid,crossview_cam2,original,10,16,0.9766666666666667,0.9966666666666667,0.7650383250695221
reid,crossview_cam2,original,10,17,0.9755555555555555,0.9922222222222222,0.7737708274450152
reid,crossview_cam2,original,10,18,0.9355555555555556,0.98,0.7849462572288962
reid,crossview_cam2,original,10,19,0.971875,0.9895833333333334,0.7563867751620195
reid,crossview_cam2,original,10,20,0.9215686274509803,0.953921568627451,0.6824766408971471
reid,crossview_cam2,original,10,21,0.9739583333333334,0.984375,0.7162620089828615
reid,crossview_cam2,original,10,22,0.95,0.9676470588235294,0.7486657119171513
reid,crossview_cam2,original,10,23,0.9604166666666667,0.975,0.7111349295927982
reid,crossview_cam2,original,10,24,0.903921568627451,0.9656862745098039,0.6908316058671806
reid,crossview_cam2,original,10,25,0.9219298245614035,0.9649122807017544,0.702486791369709
reid,crossview_cam2,original,10,26,0.9655555555555555,0.9844444444444445,0.7741703231470033
reid,crossview_cam2,original,10,27,0.9333333333333333,0.9629629629629629,0.6729431625486075
reid,crossview_cam2,original,10,28,0.9615384615384616,0.9692307692307692,0.8009866831421776
reid,crossview_cam2,original,10,29,0.9289473684210526,0.9578947368421052,0.7216389129205764
reid,crossview_cam2,original,15,0,0.9347826086956522,0.9565217391304348,0.770504955878238
reid,crossview_cam2,original,15,1,0.9358024691358025,0.9740740740740741,0.6501420285032761
reid,crossview_cam2,original,15,2,0.9068181818181819,0.9462121212121212,0.7240412194476754
reid,crossview_cam2,original,15,3,0.9297619047619048,0.9583333333333334,0.6058881449250711
reid,crossview_cam2,original,15,4,0.8886363636363637,0.9492424242424242,0.7249744422653757
reid,crossview_cam2,original,15,5,0.8806666666666667,0.9433333333333334,0.683460209961054
reid,crossview_cam2,original,15,6,0.9375,0.9770833333333333,0.7092734533070703
reid,crossview_cam2,original,15,7,0.8746376811594203,0.9405797101449276,0.6897139821688976
reid,crossview_cam2,original,15,8,0.8975308641975308,0.9506172839506173,0.6409698546429831
reid,crossview_cam2,original,15,9,0.8933333333333333,0.9341666666666667,0.7170154418114102
reid,crossview_cam2,original,15,10,0.8726666666666667,0.922,0.616380774455737
reid,crossview_cam2,original,15,11,0.908974358974359,0.948076923076923,0.6445411493363057
reid,crossview_cam2,original,15,12,0.9138888888888889,0.9520833333333333,0.6584365219572261
