attack,protocol,method,probe_requested,probe_features,probe_known_identity,probe_coverage,mean_pose_frame_coverage,mean_keypoint_conf,num_gallery_persons,accuracy,top5,balanced_accuracy,coverage_adjusted_accuracy,chance
rgb_pose_identity,crossview_cam2,original,3600,3600,3600,1.0,0.9999045138888889,0.9473723647826248,38,0.1075,0.38722222222222225,0.09879385964912282,0.1075,0.02631578947368421
rgb_pose_identity,crossview_cam2,face_blur,3600,3600,3600,1.0,0.9998871527777777,0.9021012291974492,38,0.10472222222222222,0.3527777777777778,0.09276315789473684,0.10472222222222222,0.02631578947368421
rgb_pose_identity,crossview_cam2,body_blur,3600,3600,3600,1.0,0.9985329861111111,0.9087198823855983,38,0.10694444444444444,0.3672222222222222,0.10328947368421053,0.10694444444444444,0.02631578947368421
rgb_pose_identity,crossview_cam2,body_pixel,3600,779,779,0.21638888888888888,0.3139441591784339,0.5872388523794108,38,0.007702182284980745,0.10911424903722722,0.030521642619311874,0.0016666666666666668,0.02631578947368421
rgb_pose_identity,crossview_cam3,original,3600,3600,3600,1.0,0.999921875,0.872498061110576,38,0.04583333333333333,0.18944444444444444,0.042105263157894736,0.04583333333333333,0.02631578947368421
rgb_pose_identity,crossview_cam3,face_blur,3600,3600,3600,1.0,0.9999305555555555,0.8532893592781491,38,0.04611111111111111,0.1811111111111111,0.04243421052631578,0.04611111111111111,0.02631578947368421
rgb_pose_identity,crossview_cam3,body_blur,3600,3600,3600,1.0,0.9993142361111111,0.8202394477526347,38,0.041666666666666664,0.17694444444444443,0.04528508771929825,0.041666666666666664,0.02631578947368421
rgb_pose_identity,crossview_cam3,body_pixel,3600,803,803,0.22305555555555556,0.6716220423412205,0.33412500583145716,38,0.0759651307596513,0.14196762141967623,0.02977044476327116,0.016944444444444446,0.02631578947368421
rgb_pose_identity,crosssetup,original,1140,1140,1140,1.0,0.9997532894736842,0.9428728381269856,18,0.09473684210526316,0.43859649122807015,0.0962962962962963,0.09473684210526316,0.05555555555555555
rgb_pose_identity,crosssetup,face_blur,1140,1140,1140,1.0,0.999671052631579,0.9002070337011103,18,0.0912280701754386,0.3912280701754386,0.08703703703703702,0.0912280701754386,0.05555555555555555
rgb_pose_identity,crosssetup,body_blur,1140,1140,1140,1.0,0.9967379385964912,0.905466050537009,18,0.10789473684210527,0.40614035087719297,0.1101851851851852,0.10789473684210527,0.05555555555555555
rgb_pose_identity,crosssetup,body_pixel,1140,300,300,0.2631578947368421,0.31322916666666667,0.5254710773626964,18,0.08,0.46,0.04554079696394687,0.021052631578947368,0.05555555555555555
rgb_pose_identity,crossrange,original,240,240,240,1.0,1.0,0.9490489348769188,3,0.25416666666666665,1.0,0.30277777777777776,0.25416666666666665,0.3333333333333333
rgb_pose_identity,crossrange,face_blur,240,240,240,1.0,1.0,0.9014845085640748,3,0.26666666666666666,1.0,0.30277777777777776,0.26666666666666666,0.3333333333333333
rgb_pose_identity,crossrange,body_blur,240,240,240,1.0,0.9985677083333333,0.9148993849754333,3,0.32083333333333336,1.0,0.34166666666666673,0.32083333333333336,0.3333333333333333
rgb_pose_identity,crossrange,body_pixel,240,33,33,0.1375,0.13446969696969696,0.7174337054743911,3,0.12121212121212122,1.0,0.3333333333333333,0.01666666666666667,0.3333333333333333
