rank1,rank5,mAP,num_gallery,num_probe,queries_with_match,attack,protocol,method,gallery_requested,probe_requested,gallery_coverage,probe_coverage,probe_person_frame_coverage,coverage_adjusted_rank1
0.15875,0.36,0.08282443340037152,800.0,800.0,800.0,silhouette_proxy,crossview_cam2,original,3600,3600,1.0,1.0,0.9987497158445101,0.15875
0.155,0.365,0.08270224328424297,800.0,800.0,800.0,silhouette_proxy,crossview_cam2,face_blur,3600,3600,1.0,1.0,0.9987497158445101,0.155
0.14625,0.35625,0.08369840822337739,800.0,800.0,800.0,silhouette_proxy,crossview_cam2,body_blur,3600,3600,1.0,1.0,0.9987497158445101,0.14625
0.14625,0.36,0.08167702054170908,800.0,800.0,800.0,silhouette_proxy,crossview_cam2,body_pixel,3600,3600,1.0,1.0,0.9987497158445101,0.14625
0.0825,0.24875,0.05536197594461563,800.0,800.0,800.0,silhouette_proxy,crossview_cam3,original,3600,3600,1.0,1.0,0.9993410431287272,0.0825
0.08,0.24625,0.05537873990628873,800.0,800.0,800.0,silhouette_proxy,crossview_cam3,face_blur,3600,3600,1.0,1.0,0.9993410431287272,0.08
0.075,0.22375,0.05591504969399761,800.0,800.0,800.0,silhouette_proxy,crossview_cam3,body_blur,3600,3600,1.0,1.0,0.9993410431287272,0.075
0.07125,0.2475,0.054290233312062404,800.0,800.0,800.0,silhouette_proxy,crossview_cam3,body_pixel,3600,3600,1.0,1.0,0.9993410431287272,0.07125
0.10875,0.35375,0.09145330881621572,800.0,800.0,800.0,silhouette_proxy,crosssetup,original,1140,1140,1.0,1.0,0.9981495059530044,0.10875
0.105,0.35875,0.09120773394155716,800.0,800.0,800.0,silhouette_proxy,crosssetup,face_blur,1140,1140,1.0,1.0,0.9981495059530044,0.105
0.1225,0.40375,0.1027344049016054,800.0,800.0,800.0,silhouette_proxy,crosssetup,body_blur,1140,1140,1.0,1.0,0.9981495059530044,0.1225
0.09375,0.345,0.0900192918970064,800.0,800.0,800.0,silhouette_proxy,crosssetup,body_pixel,1140,1140,1.0,1.0,0.9981495059530044,0.09375
0.5041666666666667,0.7458333333333333,0.47923740814266874,240.0,240.0,240.0,silhouette_proxy,crossrange,original,240,240,1.0,1.0,1.0,0.5041666666666667
0.5166666666666667,0.7541666666666667,0.48212945324127393,240.0,240.0,240.0,silhouette_proxy,crossrange,face_blur,240,240,1.0,1.0,1.0,0.5166666666666667
0.5166666666666667,0.7458333333333333,0.4954594054613615,240.0,240.0,240.0,silhouette_proxy,crossrange,body_blur,240,240,1.0,1.0,1.0,0.5166666666666667
0.49583333333333335,0.7458333333333333,0.4735868223863252,240.0,240.0,240.0,silhouette_proxy,crossrange,body_pixel,240,240,1.0,1.0,1.0,0.49583333333333335
